                            OLS Regression Results                            
==============================================================================
Dep. Variable:         weaptype_score   R-squared:                       0.717
Model:                            OLS   Adj. R-squared:                  0.431
Method:                 Least Squares   F-statistic:                     235.6
Date:                Wed, 12 Nov 2025   Prob (F-statistic):          3.76e-288
Time:                        22:28:29   Log-Likelihood:                 1438.4
No. Observations:                 648   AIC:                            -2225.
Df Residuals:                     322   BIC:                            -766.3
Df Model:                         325                                         
Covariance Type:                  HC1                                         
=============================================================================================
                                coef    std err          z      P>|z|      [0.025      0.975]
C(time_period)[T.2004-12]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2005-01]     0.0398      0.010      3.881      0.000       0.020       0.060
C(time_period)[T.2005-02]     0.0379      0.010      3.795      0.000       0.018       0.057
C(time_period)[T.2005-03]     0.0676      0.015      4.491      0.000       0.038       0.097
C(time_period)[T.2005-04]     0.0497      0.016      3.092      0.002       0.018       0.081
C(time_period)[T.2005-05]     0.0267      0.012      2.268      0.023       0.004       0.050
C(time_period)[T.2005-06]     0.0109      0.034      0.318      0.750      -0.056       0.078
C(time_period)[T.2005-07]     0.0469      0.008      5.773      0.000       0.031       0.063
C(time_period)[T.2005-08]     0.0361      0.008      4.405      0.000       0.020       0.052
C(time_period)[T.2005-09]    -0.0241      0.038     -0.634      0.526      -0.099       0.050
C(time_period)[T.2005-10]     0.0242      0.010      2.338      0.019       0.004       0.044
C(time_period)[T.2005-11]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2005-12]     0.0464      0.019      2.442      0.015       0.009       0.084
C(time_period)[T.2006-01]     0.0293      0.009      3.397      0.001       0.012       0.046
C(time_period)[T.2006-02]     0.0433      0.009      4.731      0.000       0.025       0.061
C(time_period)[T.2006-03]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2006-04]     0.0114      0.018      0.623      0.533      -0.025       0.047
C(time_period)[T.2006-05]     0.0172      0.018      0.928      0.353      -0.019       0.053
C(time_period)[T.2006-06]    -0.0003      0.045     -0.007      0.994      -0.089       0.089
C(time_period)[T.2006-07]     0.0363      0.014      2.657      0.008       0.010       0.063
C(time_period)[T.2006-08]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2006-09]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2006-10]     0.0304      0.008      3.788      0.000       0.015       0.046
C(time_period)[T.2006-11]     0.0375      0.010      3.674      0.000       0.018       0.058
C(time_period)[T.2006-12]     0.0319      0.012      2.706      0.007       0.009       0.055
C(time_period)[T.2007-01]     0.0474      0.018      2.604      0.009       0.012       0.083
C(time_period)[T.2007-02]     0.0368      0.011      3.427      0.001       0.016       0.058
C(time_period)[T.2007-03]     0.0578      0.048      1.209      0.227      -0.036       0.152
C(time_period)[T.2007-04]     0.0431      0.015      2.786      0.005       0.013       0.073
C(time_period)[T.2007-05]     0.0236      0.038      0.627      0.530      -0.050       0.097
C(time_period)[T.2007-06]     0.0495      0.010      4.840      0.000       0.029       0.070
C(time_period)[T.2007-07]     0.0380      0.008      4.653      0.000       0.022       0.054
C(time_period)[T.2007-08]     0.0250      0.009      2.841      0.004       0.008       0.042
C(time_period)[T.2007-09]     0.0203      0.013      1.506      0.132      -0.006       0.047
C(time_period)[T.2007-10]     0.0468      0.008      5.783      0.000       0.031       0.063
C(time_period)[T.2007-11]     0.0436      0.011      3.799      0.000       0.021       0.066
C(time_period)[T.2007-12]     0.0221      0.024      0.941      0.347      -0.024       0.068
C(time_period)[T.2008-01]     0.0209      0.015      1.371      0.171      -0.009       0.051
C(time_period)[T.2008-02]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2008-03]     0.0459      0.008      5.842      0.000       0.030       0.061
C(time_period)[T.2008-04]     0.0270      0.019      1.427      0.153      -0.010       0.064
C(time_period)[T.2008-05]     0.0204      0.008      2.432      0.015       0.004       0.037
C(time_period)[T.2008-06]     0.0568      0.016      3.447      0.001       0.024       0.089
C(time_period)[T.2008-07]     0.0521      0.011      4.733      0.000       0.031       0.074
C(time_period)[T.2008-08]     0.0129      0.009      1.481      0.139      -0.004       0.030
C(time_period)[T.2008-09]     0.0441      0.015      3.030      0.002       0.016       0.073
C(time_period)[T.2008-10]     0.0221      0.008      2.827      0.005       0.007       0.037
C(time_period)[T.2008-11]     0.0364      0.012      3.001      0.003       0.013       0.060
C(time_period)[T.2008-12]     0.0361      0.008      4.605      0.000       0.021       0.051
C(time_period)[T.2009-01]     0.0342      0.008      4.451      0.000       0.019       0.049
C(time_period)[T.2009-02]     0.0404      0.019      2.094      0.036       0.003       0.078
C(time_period)[T.2009-03]     0.0420      0.008      5.246      0.000       0.026       0.058
C(time_period)[T.2009-04]     0.0459      0.008      5.842      0.000       0.030       0.061
C(time_period)[T.2009-05]     0.0411      0.015      2.682      0.007       0.011       0.071
C(time_period)[T.2009-06]     0.0434      0.017      2.513      0.012       0.010       0.077
C(time_period)[T.2009-07]     0.0280      0.021      1.304      0.192      -0.014       0.070
C(time_period)[T.2009-08]     0.0399      0.009      4.675      0.000       0.023       0.057
C(time_period)[T.2009-09]     0.0384      0.010      3.991      0.000       0.020       0.057
C(time_period)[T.2009-10]     0.0463      0.008      5.823      0.000       0.031       0.062
C(time_period)[T.2009-11]     0.0507      0.010      5.042      0.000       0.031       0.070
C(time_period)[T.2009-12]     0.0427      0.008      5.436      0.000       0.027       0.058
C(time_period)[T.2010-01]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2010-02]     0.0414      0.014      2.871      0.004       0.013       0.070
C(time_period)[T.2010-03]     0.0325      0.008      4.088      0.000       0.017       0.048
C(time_period)[T.2010-04]     0.0434      0.012      3.718      0.000       0.021       0.066
C(time_period)[T.2010-05]     0.0226      0.009      2.436      0.015       0.004       0.041
C(time_period)[T.2010-06]     0.0235      0.009      2.651      0.008       0.006       0.041
C(time_period)[T.2010-07]     0.0306      0.008      3.957      0.000       0.015       0.046
C(time_period)[T.2010-08]     0.0222      0.009      2.509      0.012       0.005       0.039
C(time_period)[T.2010-09]     0.0323      0.008      4.210      0.000       0.017       0.047
C(time_period)[T.2010-10]     0.0349      0.013      2.634      0.008       0.009       0.061
C(time_period)[T.2010-11]     0.0402      0.012      3.400      0.001       0.017       0.063
C(time_period)[T.2010-12]     0.0278      0.011      2.478      0.013       0.006       0.050
C(time_period)[T.2011-01]     0.0137      0.025      0.555      0.579      -0.035       0.062
C(time_period)[T.2011-02]     0.0178      0.014      1.279      0.201      -0.009       0.045
C(time_period)[T.2011-03]     0.0177      0.008      2.244      0.025       0.002       0.033
C(time_period)[T.2011-04]     0.0272      0.008      3.466      0.001       0.012       0.043
C(time_period)[T.2011-05]     0.0376      0.009      4.182      0.000       0.020       0.055
C(time_period)[T.2011-06]     0.0153      0.017      0.885      0.376      -0.019       0.049
C(time_period)[T.2011-07]    -0.0006      0.008     -0.075      0.940      -0.016       0.015
C(time_period)[T.2011-08]     0.0483      0.009      5.552      0.000       0.031       0.065
C(time_period)[T.2011-09]     0.0296      0.017      1.790      0.073      -0.003       0.062
C(time_period)[T.2011-10]     0.0359      0.011      3.155      0.002       0.014       0.058
C(time_period)[T.2011-11]     0.0379      0.010      3.795      0.000       0.018       0.057
C(time_period)[T.2011-12]     0.0476      0.008      5.676      0.000       0.031       0.064
C(time_period)[T.2012-01]     0.0501      0.010      5.177      0.000       0.031       0.069
C(time_period)[T.2012-02]     0.0484      0.008      5.867      0.000       0.032       0.065
C(time_period)[T.2012-03]     0.0457      0.008      5.845      0.000       0.030       0.061
C(time_period)[T.2012-04]     0.0406      0.008      5.244      0.000       0.025       0.056
C(time_period)[T.2012-05]     0.0466      0.008      5.785      0.000       0.031       0.062
C(time_period)[T.2012-06]     0.0363      0.011      3.285      0.001       0.015       0.058
C(time_period)[T.2012-07]     0.0402      0.010      4.016      0.000       0.021       0.060
C(time_period)[T.2012-08]     0.0506      0.012      4.374      0.000       0.028       0.073
C(time_period)[T.2012-09]     0.0475      0.010      4.808      0.000       0.028       0.067
C(time_period)[T.2012-10]     0.0479      0.014      3.414      0.001       0.020       0.075
C(time_period)[T.2012-11]     0.0604      0.008      7.166      0.000       0.044       0.077
C(time_period)[T.2012-12]     0.0470      0.010      4.734      0.000       0.028       0.067
C(time_period)[T.2013-01]     0.0475      0.009      5.513      0.000       0.031       0.064
C(time_period)[T.2013-02]     0.0534      0.010      5.460      0.000       0.034       0.073
C(time_period)[T.2013-03]     0.0488      0.008      6.142      0.000       0.033       0.064
C(time_period)[T.2013-04]     0.0453      0.008      5.458      0.000       0.029       0.062
C(time_period)[T.2013-05]     0.0498      0.009      5.853      0.000       0.033       0.067
C(time_period)[T.2013-06]     0.0408      0.011      3.793      0.000       0.020       0.062
C(time_period)[T.2013-07]     0.0452      0.008      5.578      0.000       0.029       0.061
C(time_period)[T.2013-08]     0.0470      0.012      4.076      0.000       0.024       0.070
C(time_period)[T.2013-09]     0.0499      0.011      4.583      0.000       0.029       0.071
C(time_period)[T.2013-10]     0.0426      0.009      4.546      0.000       0.024       0.061
C(time_period)[T.2013-11]     0.0438      0.013      3.444      0.001       0.019       0.069
C(time_period)[T.2013-12]     0.0419      0.008      5.409      0.000       0.027       0.057
C(time_period)[T.2014-01]     0.0396      0.008      4.805      0.000       0.023       0.056
C(time_period)[T.2014-02]     0.0510      0.010      4.982      0.000       0.031       0.071
C(time_period)[T.2014-03]     0.0447      0.010      4.630      0.000       0.026       0.064
C(time_period)[T.2014-04]     0.0422      0.011      3.989      0.000       0.021       0.063
C(time_period)[T.2014-05]     0.0401      0.008      5.200      0.000       0.025       0.055
C(time_period)[T.2014-06]     0.0430      0.008      5.529      0.000       0.028       0.058
C(time_period)[T.2014-07]     0.0506      0.013      4.015      0.000       0.026       0.075
C(time_period)[T.2014-08]     0.0288      0.013      2.227      0.026       0.003       0.054
C(time_period)[T.2014-09]     0.0341      0.009      4.011      0.000       0.017       0.051
C(time_period)[T.2014-10]     0.0366      0.009      4.138      0.000       0.019       0.054
C(time_period)[T.2014-11]     0.0436      0.008      5.370      0.000       0.028       0.059
C(time_period)[T.2014-12]     0.0413      0.015      2.681      0.007       0.011       0.071
C(time_period)[T.2015-01]     0.0419      0.009      4.701      0.000       0.024       0.059
C(time_period)[T.2015-02]     0.0460      0.011      4.148      0.000       0.024       0.068
C(time_period)[T.2015-03]     0.0412      0.012      3.548      0.000       0.018       0.064
C(time_period)[T.2015-04]     0.0363      0.011      3.441      0.001       0.016       0.057
C(time_period)[T.2015-05]     0.0216      0.016      1.349      0.177      -0.010       0.053
C(time_period)[T.2015-06]     0.0465      0.010      4.730      0.000       0.027       0.066
C(time_period)[T.2015-07]     0.0368      0.011      3.475      0.001       0.016       0.058
C(time_period)[T.2015-08]     0.0356      0.008      4.215      0.000       0.019       0.052
C(time_period)[T.2015-09]     0.0347      0.008      4.220      0.000       0.019       0.051
C(time_period)[T.2015-10]    -0.0241      0.014     -1.763      0.078      -0.051       0.003
C(time_period)[T.2015-11]    -0.0072      0.012     -0.621      0.534      -0.030       0.016
C(time_period)[T.2015-12]     0.0105      0.009      1.176      0.240      -0.007       0.028
C(time_period)[T.2016-01]     0.0231      0.012      1.931      0.053      -0.000       0.046
C(time_period)[T.2016-02]     0.0163      0.010      1.656      0.098      -0.003       0.036
C(time_period)[T.2016-03]     0.0177      0.008      2.247      0.025       0.002       0.033
C(time_period)[T.2016-04]     0.0366      0.008      4.682      0.000       0.021       0.052
C(time_period)[T.2016-05]     0.0419      0.011      3.666      0.000       0.020       0.064
C(time_period)[T.2016-06]     0.0260      0.008      3.299      0.001       0.011       0.041
C(time_period)[T.2016-07]     0.0226      0.012      1.821      0.069      -0.002       0.047
C(time_period)[T.2016-08]     0.0403      0.009      4.544      0.000       0.023       0.058
C(time_period)[T.2016-09]     0.0267      0.013      2.073      0.038       0.001       0.052
C(time_period)[T.2016-10]     0.0324      0.008      3.863      0.000       0.016       0.049
C(time_period)[T.2016-11]     0.0408      0.014      2.980      0.003       0.014       0.068
C(time_period)[T.2016-12]     0.0305      0.013      2.375      0.018       0.005       0.056
C(time_period)[T.2017-01]     0.0294      0.012      2.377      0.017       0.005       0.054
C(time_period)[T.2017-02]     0.0415      0.009      4.404      0.000       0.023       0.060
C(time_period)[T.2017-03]     0.0392      0.014      2.759      0.006       0.011       0.067
C(time_period)[T.2017-04]     0.0319      0.030      1.063      0.288      -0.027       0.091
C(time_period)[T.2017-05]    -0.0067      0.025     -0.273      0.785      -0.055       0.041
C(time_period)[T.2017-06]     0.0331      0.010      3.369      0.001       0.014       0.052
C(time_period)[T.2017-07]     0.0192      0.011      1.776      0.076      -0.002       0.040
C(time_period)[T.2017-08]     0.0220      0.008      2.718      0.007       0.006       0.038
C(time_period)[T.2017-09]     0.0173      0.011      1.551      0.121      -0.005       0.039
C(time_period)[T.2017-10]     0.0278      0.011      2.456      0.014       0.006       0.050
C(time_period)[T.2017-11]     0.0335      0.008      4.056      0.000       0.017       0.050
C(time_period)[T.2017-12]     0.0370      0.010      3.836      0.000       0.018       0.056
treated_post                 -0.0208      0.007     -3.148      0.002      -0.034      -0.008
==============================================================================
Omnibus:                      141.448   Durbin-Watson:                   1.791
Prob(Omnibus):                  0.000   Jarque-Bera (JB):             4243.521
Skew:                          -0.000   Prob(JB):                         0.00
Kurtosis:                      15.537   Cond. No.                     3.54e+17
==============================================================================

Notes:
[1] Standard Errors are heteroscedasticity robust (HC1)
[2] The smallest eigenvalue is 7.12e-33. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
