                            OLS Regression Results                            
==============================================================================
Dep. Variable:           attack_count   R-squared:                       0.650
Model:                            OLS   Adj. R-squared:                  0.298
Method:                 Least Squares   F-statistic:                     1.844
Date:                Wed, 12 Nov 2025   Prob (F-statistic):           1.47e-08
Time:                        15:01:45   Log-Likelihood:                -965.79
No. Observations:                 670   AIC:                             2606.
Df Residuals:                     333   BIC:                             4125.
Df Model:                         336                                         
Covariance Type:            nonrobust                                         
=============================================================================================
                                coef    std err          t      P>|t|      [0.025      0.975]
C(time_period)[T.1997-09]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1997-10]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1997-11]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1997-12]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1998-01]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-02]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1998-03]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-04]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-05]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1998-06]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-07]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-08]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1998-09]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1998-10]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1998-11]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1998-12]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1999-01]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1999-02]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1999-03]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1999-04]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1999-05]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1999-06]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1999-07]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1999-08]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1999-09]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1999-10]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1999-11]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1999-12]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-01]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2000-02]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-03]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2000-04]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2000-05]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-06]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-07]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.2000-08]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2000-09] -8.732e-14      1.451  -6.02e-14      1.000      -2.854       2.854
C(time_period)[T.2000-10]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-11]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2000-12]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.2001-01]     1.5000      1.451      1.034      0.302      -1.354       4.354
C(time_period)[T.2001-02]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2001-03]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.2001-04]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2001-05]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.2001-06]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.2001-07]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.2001-08]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.2001-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2001-10]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2001-11]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2001-12]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2002-01]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2002-02]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2002-03]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2002-04]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2002-05]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2002-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2002-07]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2002-08]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2002-09]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2002-10]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2002-11]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2002-12]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2003-01]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2003-02]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2003-03]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2003-04]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2003-05]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2003-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2003-07]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2003-08]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2003-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2003-10]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2003-11]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2003-12]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-01]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2004-02]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-03]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2004-04]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2004-05]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-06]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-07]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2004-08]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2004-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
